,WRR,WRR without stopwords,WRR with upper,ocr word len,ocr char len,char len div,real char len,real word len,word len div,Lev ratio,runtime,WER without stopwords,CER,WER
129,0.795,0.894,0.795,6058,34311,2360,36671,6397,339,0.918,167.42,33.375,12.079,24.808
130,0.842,0.832,0.981,6621,35688,3452,39140,7016,395,0.891,186.49,41.586,16.212,30.402
131,0.794,0.858,0.953,5855,32885,2991,35876,6294,439,0.918,133.56,34.146,12.564,25.675
132,0.762,0.764,0.997,6190,33258,3989,37247,6579,389,0.84,181.4,50.113,23.868,38.927
133,0.798,0.763,0.951,6344,34521,2885,37406,6720,376,0.879,176.59,44.276,18.639,33.556
134,0.972,0.931,0.798,5995,33559,3182,36741,6504,509,0.91,158.03,32.885,13.581,24.247
135,0.948,0.854,0.76,5810,32077,4171,36248,6421,611,0.894,166.28,39.675,16.411,30.151
136,0.995,0.947,0.802,5398,30968,4307,35275,6096,698,0.887,157.56,36.549,17.608,28.625
137,0.942,0.933,0.039,5564,30655,6654,37309,6687,1123,0.863,180.44,38.397,21.952,31
138,0.8,0.843,0.947,5852,32370,3743,36113,6395,543,0.891,177.61,41.724,16.399,31.853
139,0.945,0.841,0.894,5525,31154,2455,33609,5906,381,0.905,176.45,35.807,14.581,27.159
140,0.889,0.864,0.923,5294,29557,3036,32593,5785,491,0.888,142.96,40.511,17.231,32.29
141,0.964,0.933,0.965,5656,32944,2789,35733,6105,449,0.922,157.02,29.591,11.83,23.014
142,0.883,0.832,0.993,5364,30529,2845,33374,5787,423,0.891,180.22,43.044,15.979,32.849
143,0.963,0.847,0.891,5360,30016,3839,33855,5929,569,0.888,142.33,40.584,17.212,31.051
144,0.898,0.815,0.914,5198,28927,4244,33171,5817,619,0.86,184.44,45.591,20.983,37.683
145,0.937,0.833,0.674,4813,26963,4088,31051,5421,608,0.848,160.11,49.147,22.745,39.993
146,0.906,0.851,1,5665,32359,2748,35107,6132,467,0.9,155.19,39.911,14.5,30.365
147,0.998,0.954,0.644,5411,30867,3750,34617,6061,650,0.905,155.38,30.976,14.95,24.93
148,0.897,0.826,0.954,5577,31174,4263,35437,6206,629,0.87,165.07,42.099,19.787,33.774
149,0.996,0.953,0.89,5139,29217,3801,33018,5782,643,0.887,151.51,35.958,17.462,28.623
150,0.993,0.94,0.159,5267,30148,6977,37125,6443,1176,0.86,138.92,38.767,22.713,32.159
151,0.8,0.884,0.935,5435,30411,3970,34381,6002,567,0.87,179.05,43.951,19.274,35.838
152,0.987,0.942,0.662,4388,25551,6530,32081,5510,1122,0.831,184.65,47.757,26.415,40.835
153,0.897,0.828,0.95,5522,31041,4207,35248,6171,649,0.885,145.8,38.896,18.044,31.178
154,0.882,0.938,0.863,5380,31246,4737,35983,6178,798,0.885,178.9,36.714,17.947,29.524
155,0.972,0.945,0.886,5108,28763,6272,35035,6061,953,0.839,176.63,46.963,24.477,38.541
156,0.947,0.854,0.685,5099,28439,4906,33345,5844,745,0.85,169.6,48.264,22.308,38.604
157,0.947,0.831,0.951,5692,32282,2919,35201,6158,466,0.905,144.01,34.901,13.87,26.259
158,0.917,0.825,0.906,5100,29270,5890,35160,5813,713,0.835,167.12,49.974,24.722,41.769
159,0.864,0.864,1,5353,30436,7530,37966,6545,1192,0.835,192.81,51.423,25.304,41.253
160,0.986,0.927,0.818,5041,28807,6189,34996,6115,1074,0.839,162.45,47.95,24.703,39.804
161,0.949,0.928,0.85,5210,29675,3949,33624,5817,607,0.881,172.21,40.868,17.543,32.457
162,0.948,0.826,0.659,5885,32364,2615,34979,6246,361,0.914,134.63,32.542,13.075,24.672
163,0.943,0.848,0.894,5276,30195,5383,35578,6087,811,0.863,180.38,43.278,21.033,35.88
164,0.973,0.927,0.81,5204,29613,5481,35094,6081,877,0.861,202.77,41.587,21.242,33.991
165,0.932,0.854,0.668,5407,31029,3472,34501,5996,589,0.899,141.45,35.064,15.11,28.836
166,0.994,0.949,0.762,4891,27619,7485,35104,6090,1199,0.832,161.52,45.894,26.154,37.586
167,0.956,0.917,0.807,5547,30995,4155,35150,6237,690,0.887,196.57,37.323,17.079,29.662
168,0.97,0.927,0.983,5509,30971,5294,36265,6375,866,0.876,162.49,37.687,19.286,30.384
169,0.969,0.926,0.78,4839,27410,5584,32994,5763,924,0.836,191.12,48.415,24.552,39.823
170,0.937,0.851,0.674,5132,29491,5414,34905,5947,815,0.838,232.86,49.869,23.718,40.441
171,0.964,0.846,0.957,5525,31390,3269,34659,6062,537,0.901,182.37,33.136,15.234,26.707
172,0.764,0.722,0.783,4962,27716,7266,34982,6202,1240,0.846,172.24,41.263,24.661,34.199
173,0.819,0.951,0.671,5080,28805,4346,33151,5791,711,0.879,149.3,37.574,18.64,30.806
174,0.783,0.927,0.818,4754,26348,8189,34537,6204,1450,0.821,176.42,44.239,28.359,38.314
175,0.804,0.873,0.974,5959,33761,2084,35845,6212,253,0.923,164.34,34.469,11.038,25.612
176,0.97,0.935,0.888,5577,31946,3263,35209,6124,547,0.907,149.43,32.008,14.26,24.641
177,0.988,0.934,0.812,6076,33888,3066,36954,6578,502,0.925,140.14,26.725,11.867,20.538
178,0.889,0.897,0.91,5806,32949,2078,35027,6126,320,0.936,135.99,24.74,9.604,18.266
179,0.791,0.861,0.908,5920,32968,2256,35224,6221,301,0.917,140.14,35.82,12.196,26.812
180,0.804,0.883,0.972,6100,34369,1976,36345,6335,235,0.905,151.02,35.616,15.106,27.245
181,0.886,0.827,0.986,6550,36302,3319,39621,7019,469,0.908,171.91,35.389,14.245,26.613
